,Title,urls,Difficulty,Tags,Acceptance,Submission,Acceptance_Rate,Likes,Dislikes
138,139. Word Break,/problems/word-break,Medium,"['Hash Table', 'String', 'Dynamic Programming', 'Trie', 'Memoization']",806592,1895039,42.5%,7263,341
139,140. Word Break II,/problems/word-break-ii,Hard,"['Hash Table', 'String', 'Dynamic Programming', 'Backtracking', 'Trie', 'Memoization']",344717,928702,37.0%,3467,448
140,141. Linked List Cycle,/problems/linked-list-cycle,Easy,"['Hash Table', 'Linked List', 'Two Pointers']",981006,2248837,43.6%,4972,642
141,142. Linked List Cycle II,/problems/linked-list-cycle-ii,Medium,"['Hash Table', 'Linked List', 'Two Pointers']",480058,1174613,40.8%,4615,332
142,143. Reorder List,/problems/reorder-list,Medium,"['Linked List', 'Two Pointers', 'Stack', 'Recursion']",342943,808951,42.3%,3519,155
143,144. Binary Tree Preorder Traversal,/problems/binary-tree-preorder-traversal,Easy,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']",678868,1152613,58.8%,2522,93
144,145. Binary Tree Postorder Traversal,/problems/binary-tree-postorder-traversal,Easy,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']",519539,874219,59.3%,2829,120
145,146. LRU Cache,/problems/lru-cache,Medium,"['Hash Table', 'Linked List', 'Design', 'Doubly-Linked List']",806920,2162754,37.3%,9181,363
146,147. Insertion Sort List,/problems/insertion-sort-list,Medium,"['Linked List', 'Sorting']",237533,523579,45.3%,1165,703
147,148. Sort List,/problems/sort-list,Medium,"['Linked List', 'Two Pointers', 'Divide and Conquer', 'Sorting', 'Merge Sort']",372379,779673,47.7%,4656,183
148,149. Max Points on a Line,/problems/max-points-on-a-line,Hard,"['Hash Table', 'Math', 'Geometry']",190927,1035072,18.4%,312,77
149,150. Evaluate Reverse Polish Notation,/problems/evaluate-reverse-polish-notation,Medium,"['Array', 'Math', 'Stack']",314172,788811,39.8%,1934,551
150,151. Reverse Words in a String,/problems/reverse-words-in-a-string,Medium,"['Two Pointers', 'String']",552570,2203447,25.0%,1827,3352
151,152. Maximum Product Subarray,/problems/maximum-product-subarray,Medium,"['Array', 'Dynamic Programming']",509362,1534317,33.2%,7475,242
152,153. Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,Medium,"['Array', 'Binary Search']",630771,1348916,46.7%,3888,313
153,154. Find Minimum in Rotated Sorted Array II,/problems/find-minimum-in-rotated-sorted-array-ii,Hard,"['Array', 'Binary Search']",257204,608417,42.3%,1732,284
154,155. Min Stack,/problems/min-stack,Easy,"['Stack', 'Design']",758797,1596446,47.5%,5484,497
155,160. Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,Easy,"['Hash Table', 'Linked List', 'Two Pointers']",712316,1549247,45.9%,6165,687
156,162. Find Peak Element,/problems/find-peak-element,Medium,"['Array', 'Binary Search']",553289,1242245,44.3%,3527,2880
157,164. Maximum Gap,/problems/maximum-gap,Hard,"['Array', 'Sorting', 'Bucket Sort', 'Radix Sort']",120944,303431,39.8%,1538,248
158,165. Compare Version Numbers,/problems/compare-version-numbers,Medium,"['Two Pointers', 'String']",249896,800194,31.2%,862,1747
159,166. Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,Medium,"['Hash Table', 'Math', 'String']",157344,693003,22.7%,1243,2412
160,167. Two Sum II - Input array is sorted,/problems/two-sum-ii-input-array-is-sorted,Easy,"['Array', 'Two Pointers', 'Binary Search']",607673,1079313,56.3%,2958,755
161,168. Excel Sheet Column Title,/problems/excel-sheet-column-title,Easy,"['Math', 'String']",265083,817878,32.4%,1843,323
162,169. Majority Element,/problems/majority-element,Easy,"['Array', 'Hash Table', 'Divide and Conquer', 'Sorting', 'Counting']",891252,1466811,60.7%,5698,273
163,171. Excel Sheet Column Number,/problems/excel-sheet-column-number,Easy,"['Math', 'String']",391637,677799,57.7%,1832,212
164,172. Factorial Trailing Zeroes,/problems/factorial-trailing-zeroes,Easy,['Math'],272901,693253,39.3%,1449,1462
165,173. Binary Search Tree Iterator,/problems/binary-search-tree-iterator,Medium,"['Stack', 'Tree', 'Design', 'Binary Search Tree', 'Binary Tree', 'Iterator']",425257,688127,61.7%,3912,328
166,174. Dungeon Game,/problems/dungeon-game,Hard,"['Array', 'Dynamic Programming', 'Matrix']",131515,388461,33.8%,2596,54
167,175. Combine Two Tables,/problems/combine-two-tables,Easy,['Database'],394086,596077,66.0%,1328,164
168,176. Second Highest Salary,/problems/second-highest-salary,Easy,['Database'],355070,1040395,34.1%,1261,596
169,177. Nth Highest Salary,/problems/nth-highest-salary,Medium,['Database'],176452,515795,34.2%,701,517
170,178. Rank Scores,/problems/rank-scores,Medium,['Database'],166527,314920,52.8%,987,176
171,179. Largest Number,/problems/largest-number,Medium,"['String', 'Greedy', 'Sorting']",260331,829761,31.3%,3385,332
172,180. Consecutive Numbers,/problems/consecutive-numbers,Medium,['Database'],138469,318561,43.4%,666,148
173,181. Employees Earning More Than Their Managers,/problems/employees-earning-more-than-their-managers,Easy,['Database'],259220,414622,62.4%,905,120
174,182. Duplicate Emails,/problems/duplicate-emails,Easy,['Database'],258962,391640,66.1%,719,39
175,183. Customers Who Never Order,/problems/customers-who-never-order,Easy,['Database'],247959,421062,58.8%,583,59
176,184. Department Highest Salary,/problems/department-highest-salary,Medium,['Database'],163099,385240,42.2%,721,146
